file_name,file_path,code_content,error_description,category
gyro_missing_resetYaw.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_missing_resetYaw.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(7, 2);
void setup() {
  Wire.begin();
  gyro.begin();
 
  while(gyro.getYaw() < 90) {
    // statements
  }
}
void loop() {}
",gyro missing resetYaw error,gyro error
gyro_reset_yaw_in_loop.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_reset_yaw_in_loop.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(4, 2);
void setup() {
  Wire.begin();
  gyro.begin();
}
void loop() {
  gyro.resetYaw(); // Resets every loop!
  float yaw = gyro.getYaw();
}
",gyro reset yaw in loop error,gyro error
Gyro_read_without_begin.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/Gyro_read_without_begin.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>
// MISTAKE 131
// Reading yaw without begin()
ZebraGyro gyro(4, 2);
void setup() {
  Wire.begin();
  float yaw = gyro.getYaw(); // Before begin()!
}
void loop() {}
",Gyro read without begin error,gyro error
gyro_compare_without_tolerance.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_compare_without_tolerance.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>


ZebraGyro gyro(4, 2);
void setup() {
  Wire.begin();
  gyro.begin();
  gyro.resetYaw();
}
void loop() {
  gyro.update();
  if(gyro.getYaw() == 90.0) {} // Exact match unlikely!
}
",gyro compare without tolerance error,gyro error
color_no_variables.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/color_no_variables.cpp,"#include <Arduino.h>
#include ""ZebraColour.h""

ZebraColour sensor(3);
void setup() {
  Wire.begin();
  sensor.begin();
}
void loop() {
  ColourData data;
  sensor.getFullColourData(data); 
}
",color no variables error,colorsensor error
Color_wrong_color_constant.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/Color_wrong_color_constant.cpp,"#include <Arduino.h>
#include <ZebraColour.h>

ZebraColour sensor(3);
ColourData data;
void setup() { Wire.begin(); sensor.begin(); }
void loop() {
  sensor.getFullColourData(data);
  if(data.colorID == 4) {} 
}
",Color wrong color constant error,colorsensor error
TOF_reading_without_storing.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_reading_without_storing.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>

ZebraTOF tof(2);
void setup() {
  Wire.begin();
  tof.begin();
}
void loop() {
  tof.readDistance(); // Result ignored!
  delay(100);
}
",TOF reading without storing error,distance sensor error
TOF_reading_before_begin.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_reading_before_begin.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>
// MISTAKE 127
// Reading before begin()
ZebraTOF tof(2);
void setup() {
  Wire.begin();
  int d = tof.readDistance(); // Before begin()!
  tof.begin();
}
void loop() {}
",TOF reading before begin error,distance sensor error
TOF_notCalling_readDistance.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_notCalling_readDistance.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>

ZebraTOF tof(2);
int dist;
void setup() { 
  Wire.begin();
  Serial.begin(115200);
  tof.begin(); }
void loop() {
  
  if(dist < 100) { 
    Serial.println(""stop"");
   }
}
",TOF notCalling readDistance error,distance sensor error
TOF_tinyDistance.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_tinyDistance.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>

ZebraTOF tof(2);
void setup() { 
  Serial.begin(115200);
  Wire.begin(); 
  tof.begin(); 

}
void loop() {
  int d = tof.readDistance();
  if(d < 10) {   // 10mm is tiny! Should be 100+
    Serial.println(""STOP"")
  } 
}
",TOF tinyDistance error,distance sensor error
coding_variable_not_in_scope.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_variable_not_in_scope.cpp,"#include <Arduino.h>

void setup() {}
void loop() {
  for(int i = 0; i < 10; i++) {}
  Serial.println(i); // i not in scope!
}
",coding variable not in scope error,coding error
Coding_reset_every_time.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Coding_reset_every_time.cpp,"#include <Arduino.h>

void setup() {}
void loop() {
  int count = 0; // Resets every loop!
  count++;
  Serial.println(count); // Always 1!
}
",Coding reset every time error,coding error
Coding_always_true.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Coding_always_true.cpp,"#include <Arduino.h>

int count = 0;
void setup() {}
void loop() {
  while(count = 10) {} // Always true!
}
",Coding always true error,coding error
coding_static_variable_confusion.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_static_variable_confusion.cpp,"#include <Arduino.h>

void printCount() {
  static int count = 0;
  count++;
  Serial.println(count);
}
void setup() {
  Serial.begin(115200);
  printCount();
  count = 0; 
}
void loop() {}
",coding static variable confusion error,coding error
coding_loop_with_wrong_increment.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_loop_with_wrong_increment.cpp,"#include <Arduino.h>

void setup() {
  Serial.begin(115200);
}
void loop() {
  for(int i = 10; i > 0; i++) {} // Infinite loop!
}
",coding loop with wrong increment error,coding error
coding_infinite_loop_inSetup.cpp,/content/drive/MyDrive/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_infinite_loop_inSetup.cpp,"#include <Arduino.h>
// MISTAKE 61
// Infinite loop in setup
void setup() {
  while(true) {
    delay(100);
  }
  Serial.begin(115200); // Never reached!
}
void loop() {}
",coding infinite loop inSetup error,coding error
