filename,abs_path,relative_path,code_content,has_error_label,label,error_description
Coding_always_true.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Coding_always_true.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Coding_always_true.cpp,"#include <Arduino.h>

int count = 0;
void setup() {}
void loop() {
  while(count = 10) {} // Always true!
}
",True,coding error,Coding always true error
Coding_reset_every_time.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Coding_reset_every_time.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Coding_reset_every_time.cpp,"#include <Arduino.h>

void setup() {}
void loop() {
  int count = 0; // Resets every loop!
  count++;
  Serial.println(count); // Always 1!
}
",True,coding error,Coding reset every time error
Inconsistance delay.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Inconsistance delay.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Inconsistance delay.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

void setup(){
    pinMode(2, OUTPUT);
    motor.begin();
}

void loop(){
    motor.move_degrees(500,-60);
    digitalWrite(2,HIGH);
    delay(50);
    digitalWrite(2, LOW);
    delay(500);
    motor.move_degrees(500,60);
    digitalWrite(2, HIGH);
    delay(5000);
    digitalWrite(2, LOW);
    delay(500);
    digitalWrite(2, HIGH);
    delay(500);
    digitalWrite(2, LOW);
}
",False,no error,No labeled error
Inconsistance delay_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Inconsistance delay_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/Inconsistance delay_solution.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

void setup(){
    pinMode(2, OUTPUT);
    motor.begin();
}

void loop(){
    motor.move_degrees(500,-60);
    digitalWrite(2,HIGH);
    delay(500);
    digitalWrite(2, LOW);
    delay(500);
    motor.move_degrees(500,60);
    digitalWrite(2, HIGH);
    delay(500);
    digitalWrite(2, LOW);
    delay(500);
    digitalWrite(2, HIGH);
    delay(500);
    digitalWrite(2, LOW);
}
",False,no error,No labeled error
coding_always_true2.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_always_true2.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_always_true2.cpp,"#include <Arduino.h>

void setup() {}
void loop() {
  if(5) { // Non-zero is true!
    Serial.println(""Always"");
  }
}
",True,coding error,coding always true2 error
coding_case_sensitive.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_case_sensitive.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_case_sensitive.cpp,"#include <Arduino.h>

String input = ""start"";
void setup() {
  Serial.begin(115200);
}
void loop() {
  if(input == ""START"") {} // Case sensitive!
}
",True,coding error,coding case sensitive error
coding_empty_loop.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_empty_loop.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_empty_loop.cpp,"#include <Arduino.h>

void setup() {}
void loop() {
  while(true); // Does nothing forever!
}
",True,coding error,coding empty loop error
coding_if_without_braces.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_if_without_braces.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_if_without_braces.cpp,"#include <Arduino.h>

int a = 5, b = 10;
void setup() {}
void loop() {
  if(a > 0)
    if(b > 0)
      Serial.println(""Both positive"");
  else
    Serial.println(""Huh?""); // Belongs to inner if!
}
",True,coding error,coding if without braces error
coding_infinite_loop_inSetup.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_infinite_loop_inSetup.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_infinite_loop_inSetup.cpp,"#include <Arduino.h>
// MISTAKE 61
// Infinite loop in setup
void setup() {
  while(true) {
    delay(100);
  }
  Serial.begin(115200); // Never reached!
}
void loop() {}
",True,coding error,coding infinite loop inSetup error
coding_joining_string_with_int.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_joining_string_with_int.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_joining_string_with_int.cpp,"#include <Arduino.h>


int value = 42;
void setup() {
  Serial.begin(115200);
  Serial.println(""Value: "" + value); // Wrong!
}
void loop() {}
",True,coding error,coding joining string with int error
